scope,district_id,category,period_date,platform,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast,cancel_rate,return_rate,cancel_reasons_json,return_reasons_json,area_performance_score,area_rating,highest_rating,lowest_rating,avg_basket,avg_menu_price,avg_monthly_revenue,courier_fee,hourly_heatmap_json,negative_comment_total,negative_comment_rate,negative_avg_rating,platform_negative_distribution_json,rating_distribution_json,negative_word_cloud_json,courier_comparison_json
district,34-avcılar,Çiğ Köfte,2026-05-01,Getir,881,51604,41.5,43.0,35.8,25.0,14315.08,319639.84,5157484.13,,,,,,,,,,,,,,,,,,,,
district,34-avcılar,Çiğ Köfte,2026-05-01,Yemeksepeti,2223,44273,46.9,39.0,33.6,48.5,9303.36,342167.92,4752589.07,,,,,,,,,,,,,,,,,,,,
district,34-avcılar,Çorba,2026-05-01,Uber Eats Trendyol Go,2859,26403,35.6,30.1,40.3,47.8,4921.99,299573.09,5718655.11,10.16,3.07,"[{""label"": ""Uzun bekleme"", ""percent"": 23.6, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 5.2, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 15.5, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 18.0, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 12.5, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 14.1, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 26.1, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 32.3, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 12.1, ""color"": ""#F99F1B""}]",80.7,4.26,4.63,3.44,147.76,217.9,1727333,27,"[[100, 30, 56, 74, 75, 65, 26, 51, 75, 75, 65, 36, 43, 77, 48, 94, 54, 98, 21, 88, 19, 99, 33, 61], [93, 24, 16, 31, 69, 55, 47, 74, 82, 93, 91, 94, 10, 24, 53, 85, 4, 15, 22, 64, 80, 59, 15, 12], [37, 32, 51, 14, 81, 8, 96, 53, 55, 82, 87, 70, 40, 95, 80, 11, 26, 85, 67, 60, 5, 29, 88, 70], [40, 28, 8, 80, 69, 70, 93, 33, 82, 25, 90, 8, 50, 34, 87, 4, 24, 15, 39, 55, 49, 89, 54, 55], [79, 29, 70, 5, 98, 94, 12, 15, 74, 40, 96, 75, 78, 48, 48, 39, 32, 81, 28, 62, 55, 77, 4, 37], [26, 56, 68, 17, 75, 13, 68, 41, 47, 18, 69, 36, 72, 77, 36, 92, 60, 52, 76, 65, 35, 100, 47, 62], [91, 62, 79, 7, 65, 18, 37, 12, 52, 85, 32, 90, 93, 33, 44, 56, 49, 70, 72, 5, 93, 37, 35, 40]]",880,22.98,3.12,"[{""platform_id"": 1, ""percent"": 27.0}, {""platform_id"": 2, ""percent"": 34.4}, {""platform_id"": 3, ""percent"": 38.6}]","[{""stars"": 5, ""percent"": 14.5, ""count"": 1142}, {""stars"": 4, ""percent"": 20.3, ""count"": 1974}, {""stars"": 3, ""percent"": 19.0, ""count"": 2439}, {""stars"": 2, ""percent"": 24.9, ""count"": 2405}, {""stars"": 1, ""percent"": 23.2, ""count"": 1321}]","[{""text"": ""Kötü"", ""weight"": 2}, {""text"": ""Lezzetsiz"", ""weight"": 2}, {""text"": ""Yağlı"", ""weight"": 2}, {""text"": ""Geç"", ""weight"": 5}, {""text"": ""Soğuk"", ""weight"": 3}, {""text"": ""Az porsiyon"", ""weight"": 2}]","{""restaurant_courier"": {""fee"": 18, ""avg_cost"": 27.4, ""monthly_revenue"": 3642, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 39.34, ""monthly_revenue"": 1216596, ""churn_label"": ""DÜŞÜK""}}"
district,34-avcılar,Çorba,2026-05-01,Getir,2717,22769,46.2,32.4,31.3,47.5,13690.86,293629.84,4373665.16,,,,,,,,,,,,,,,,,,,,
district,34-avcılar,Çorba,2026-05-01,Yemeksepeti,1249,70086,47.9,30.6,29.4,39.4,4595.63,349817.48,5391600.38,,,,,,,,,,,,,,,,,,,,
district,34-avcılar,Dondurma,2026-05-01,Uber Eats Trendyol Go,2714,22134,37.6,32.9,38.7,29.4,14741.58,324561.14,5300352.95,18.78,3.14,"[{""label"": ""Uzun bekleme"", ""percent"": 10.3, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 19.5, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 11.5, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 20.3, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 10.2, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 21.0, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 14.7, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 34.1, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 22.3, ""color"": ""#F99F1B""}]",79.1,4.15,4.61,3.64,124.68,256.69,886425,29,"[[27, 77, 20, 77, 91, 33, 16, 96, 38, 34, 75, 59, 52, 29, 22, 98, 23, 64, 5, 26, 57, 67, 21, 84], [70, 72, 96, 44, 66, 42, 36, 75, 76, 10, 54, 16, 92, 24, 11, 31, 36, 64, 84, 16, 61, 99, 46, 37], [50, 50, 75, 75, 36, 48, 6, 56, 19, 48, 90, 81, 29, 77, 77, 87, 87, 72, 26, 40, 49, 45, 90, 69], [66, 98, 61, 14, 52, 82, 40, 63, 84, 22, 25, 85, 47, 57, 84, 82, 77, 55, 13, 14, 24, 47, 33, 44], [44, 87, 41, 94, 38, 81, 86, 54, 38, 60, 50, 99, 79, 70, 61, 56, 25, 27, 6, 20, 97, 34, 88, 36], [99, 93, 99, 14, 30, 25, 54, 17, 16, 12, 64, 74, 10, 7, 54, 71, 14, 17, 37, 83, 23, 14, 87, 53], [43, 33, 35, 98, 40, 60, 84, 20, 20, 71, 25, 7, 8, 88, 49, 45, 64, 63, 73, 38, 74, 60, 21, 93]]",2708,18.54,2.9,"[{""platform_id"": 1, ""percent"": 37.1}, {""platform_id"": 2, ""percent"": 37.3}, {""platform_id"": 3, ""percent"": 25.7}]","[{""stars"": 5, ""percent"": 24.1, ""count"": 1572}, {""stars"": 4, ""percent"": 24.6, ""count"": 1893}, {""stars"": 3, ""percent"": 19.6, ""count"": 1211}, {""stars"": 2, ""percent"": 19.6, ""count"": 965}, {""stars"": 1, ""percent"": 21.1, ""count"": 1204}]","[{""text"": ""Tatsız"", ""weight"": 1}, {""text"": ""Yağlı"", ""weight"": 1}, {""text"": ""Kötü"", ""weight"": 5}, {""text"": ""Soğuk"", ""weight"": 2}, {""text"": ""Geç"", ""weight"": 3}, {""text"": ""Eksik"", ""weight"": 3}]","{""restaurant_courier"": {""fee"": 30, ""avg_cost"": 35.7, ""monthly_revenue"": 7029, ""churn_label"": ""ORTA""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 29.49, ""monthly_revenue"": 1151344, ""churn_label"": ""ORTA""}}"
district,34-avcılar,Dondurma,2026-05-01,Getir,2945,35152,44.9,36.0,28.8,47.1,8808.17,212474.03,6574689.91,,,,,,,,,,,,,,,,,,,,
district,34-avcılar,Dondurma,2026-05-01,Yemeksepeti,2096,74291,34.5,30.3,33.4,31.0,12409.92,377488.6,7037874.7,,,,,,,,,,,,,,,,,,,,
district,34-bağcılar,,2026-05-01,Uber Eats Trendyol Go,1613,38656,41.2,35.6,30.4,29.7,4753.1,184156.01,3551781.75,14.11,8.43,"[{""label"": ""Uzun bekleme"", ""percent"": 22.5, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 17.3, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 11.4, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 8.8, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 24.4, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 10.4, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 29.4, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 28.5, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 12.5, ""color"": ""#F99F1B""}]",81.0,3.51,4.55,2.82,106.06,187.24,1947785,30,"[[51, 63, 93, 8, 46, 14, 100, 22, 11, 38, 54, 13, 73, 64, 27, 28, 36, 52, 5, 19, 95, 35, 53, 60], [35, 98, 8, 29, 62, 98, 16, 70, 89, 30, 64, 53, 91, 43, 45, 24, 84, 97, 9, 99, 74, 70, 19, 36], [65, 85, 42, 29, 50, 10, 89, 31, 18, 34, 85, 59, 45, 5, 25, 39, 78, 19, 54, 35, 5, 9, 78, 92], [64, 92, 80, 23, 51, 15, 35, 24, 67, 15, 91, 83, 47, 84, 11, 11, 49, 86, 23, 93, 72, 17, 20, 66], [33, 44, 75, 86, 100, 48, 60, 97, 28, 6, 92, 52, 49, 96, 21, 36, 9, 66, 94, 60, 75, 41, 73, 93], [66, 28, 76, 27, 73, 48, 45, 97, 63, 39, 80, 74, 24, 12, 71, 23, 61, 41, 37, 73, 50, 62, 4, 85], [68, 52, 97, 27, 6, 83, 50, 83, 34, 45, 96, 12, 88, 72, 53, 28, 71, 91, 67, 74, 23, 82, 40, 45]]",2178,27.82,2.17,"[{""platform_id"": 1, ""percent"": 17.3}, {""platform_id"": 2, ""percent"": 33.3}, {""platform_id"": 3, ""percent"": 49.4}]","[{""stars"": 5, ""percent"": 30.9, ""count"": 765}, {""stars"": 4, ""percent"": 17.7, ""count"": 864}, {""stars"": 3, ""percent"": 18.0, ""count"": 1494}, {""stars"": 2, ""percent"": 13.8, ""count"": 565}, {""stars"": 1, ""percent"": 16.4, ""count"": 1095}]","[{""text"": ""Eksik"", ""weight"": 1}, {""text"": ""Tatsız"", ""weight"": 2}, {""text"": ""Bayat"", ""weight"": 4}, {""text"": ""Soğuk"", ""weight"": 1}, {""text"": ""Geç"", ""weight"": 4}, {""text"": ""Az porsiyon"", ""weight"": 1}]","{""restaurant_courier"": {""fee"": 26, ""avg_cost"": 36.16, ""monthly_revenue"": 6407, ""churn_label"": ""ORTA""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 36.91, ""monthly_revenue"": 761132, ""churn_label"": ""ORTA""}}"
district,34-bağcılar,,2026-05-01,Getir,2666,22664,43.4,41.7,26.6,30.4,9714.34,175306.28,4155090.02,,,,,,,,,,,,,,,,,,,,
district,34-bağcılar,,2026-05-01,Yemeksepeti,2078,32416,29.8,38.1,36.4,48.7,10142.66,289535.4,6730541.88,,,,,,,,,,,,,,,,,,,,
district,34-bağcılar,Balık & Deniz Ürünleri,2026-05-01,Uber Eats Trendyol Go,2861,43459,41.9,39.1,33.5,27.6,12717.08,287491.37,5523463.9,18.15,9.41,"[{""label"": ""Uzun bekleme"", ""percent"": 20.0, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 28.3, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 23.0, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 18.8, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 24.9, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 26.9, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 18.2, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 39.0, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 26.5, ""color"": ""#F99F1B""}]",78.1,3.81,4.77,3.25,146.03,239.13,1054992,29,"[[61, 54, 4, 96, 8, 40, 80, 6, 70, 21, 42, 4, 42, 32, 31, 44, 6, 92, 39, 74, 69, 75, 77, 77], [23, 16, 8, 62, 49, 23, 21, 37, 50, 78, 35, 33, 36, 42, 15, 77, 55, 76, 31, 97, 13, 96, 45, 65], [26, 66, 92, 93, 77, 16, 80, 86, 42, 8, 97, 77, 52, 14, 11, 46, 48, 59, 57, 19, 33, 99, 87, 81], [5, 85, 84, 52, 10, 43, 71, 9, 44, 73, 76, 23, 45, 68, 93, 32, 23, 10, 90, 97, 54, 61, 100, 80], [77, 68, 15, 32, 59, 41, 54, 22, 20, 47, 14, 64, 77, 99, 10, 74, 55, 37, 14, 55, 68, 59, 93, 20], [21, 65, 75, 29, 66, 54, 87, 77, 29, 75, 82, 98, 71, 35, 35, 13, 38, 59, 45, 91, 77, 15, 18, 89], [56, 58, 50, 48, 28, 45, 48, 80, 87, 7, 43, 25, 48, 82, 60, 83, 22, 60, 9, 33, 29, 91, 51, 23]]",851,17.25,2.08,"[{""platform_id"": 1, ""percent"": 47.4}, {""platform_id"": 2, ""percent"": 48.2}, {""platform_id"": 3, ""percent"": 4.4}]","[{""stars"": 5, ""percent"": 31.7, ""count"": 2179}, {""stars"": 4, ""percent"": 19.3, ""count"": 1503}, {""stars"": 3, ""percent"": 25.4, ""count"": 727}, {""stars"": 2, ""percent"": 16.1, ""count"": 1464}, {""stars"": 1, ""percent"": 5.5, ""count"": 728}]","[{""text"": ""Lezzetsiz"", ""weight"": 5}, {""text"": ""Kötü"", ""weight"": 4}, {""text"": ""Geç"", ""weight"": 5}, {""text"": ""Tatsız"", ""weight"": 2}, {""text"": ""Yağlı"", ""weight"": 1}, {""text"": ""Soğuk"", ""weight"": 4}]","{""restaurant_courier"": {""fee"": 16, ""avg_cost"": 30.11, ""monthly_revenue"": 3492, ""churn_label"": ""ORTA""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 28.01, ""monthly_revenue"": 1430361, ""churn_label"": ""ORTA""}}"
district,34-bağcılar,Balık & Deniz Ürünleri,2026-05-01,Getir,717,50471,41.4,25.2,32.8,31.8,13372.91,315025.09,7321411.37,,,,,,,,,,,,,,,,,,,,
district,34-bağcılar,Balık & Deniz Ürünleri,2026-05-01,Yemeksepeti,578,39168,46.7,38.0,29.6,34.5,14742.73,174900.93,4577279.85,,,,,,,,,,,,,,,,,,,,
district,34-bağcılar,Börek,2026-05-01,Uber Eats Trendyol Go,2945,54836,27.2,29.0,44.3,39.0,11837.16,159938.1,7611350.58,11.1,8.88,"[{""label"": ""Uzun bekleme"", ""percent"": 23.6, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 5.5, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 18.7, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 13.9, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 11.0, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 29.9, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 29.6, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 28.3, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 11.2, ""color"": ""#F99F1B""}]",76.4,4.0,5.0,3.99,193.3,271.86,773081,19,"[[47, 54, 88, 21, 15, 97, 52, 70, 90, 82, 84, 91, 33, 57, 34, 77, 23, 58, 43, 81, 46, 61, 73, 20], [30, 87, 21, 78, 73, 91, 29, 21, 43, 92, 94, 71, 21, 59, 22, 87, 76, 24, 44, 12, 75, 72, 96, 19], [27, 44, 22, 97, 7, 44, 56, 56, 42, 60, 99, 85, 98, 39, 23, 28, 17, 20, 27, 7, 82, 82, 38, 81], [76, 82, 33, 80, 33, 33, 91, 7, 49, 14, 92, 65, 21, 68, 81, 64, 95, 87, 51, 27, 53, 66, 64, 21], [24, 28, 32, 8, 56, 5, 38, 56, 32, 99, 89, 29, 100, 30, 12, 26, 60, 82, 66, 92, 45, 62, 35, 58], [55, 9, 81, 98, 52, 96, 44, 54, 82, 99, 77, 80, 72, 71, 86, 94, 8, 70, 17, 61, 62, 9, 35, 70], [72, 54, 98, 9, 75, 53, 70, 84, 10, 28, 41, 60, 54, 42, 40, 63, 25, 58, 41, 82, 10, 92, 70, 22]]",2398,31.6,2.68,"[{""platform_id"": 1, ""percent"": 19.0}, {""platform_id"": 2, ""percent"": 40.3}, {""platform_id"": 3, ""percent"": 40.7}]","[{""stars"": 5, ""percent"": 29.5, ""count"": 2420}, {""stars"": 4, ""percent"": 28.4, ""count"": 1919}, {""stars"": 3, ""percent"": 17.0, ""count"": 1346}, {""stars"": 2, ""percent"": 16.5, ""count"": 551}, {""stars"": 1, ""percent"": 8.6, ""count"": 713}]","[{""text"": ""Eksik"", ""weight"": 1}, {""text"": ""Geç"", ""weight"": 1}, {""text"": ""Soğuk"", ""weight"": 4}, {""text"": ""Az porsiyon"", ""weight"": 3}, {""text"": ""Lezzetsiz"", ""weight"": 1}, {""text"": ""Bayat"", ""weight"": 5}]","{""restaurant_courier"": {""fee"": 27, ""avg_cost"": 39.54, ""monthly_revenue"": 7191, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 39.25, ""monthly_revenue"": 1097073, ""churn_label"": ""ORTA""}}"
district,34-bağcılar,Börek,2026-05-01,Getir,679,70348,29.3,31.7,42.4,46.6,5783.37,186151.84,6845783.98,,,,,,,,,,,,,,,,,,,,
district,34-bağcılar,Börek,2026-05-01,Yemeksepeti,710,47497,32.7,39.6,44.2,32.2,5987.66,374635.48,7802169.4,,,,,,,,,,,,,,,,,,,,
district,34-bağcılar,Çiğ Köfte,2026-05-01,Uber Eats Trendyol Go,514,60800,44.1,25.2,35.0,37.5,12882.0,301995.98,5467333.98,9.34,10.91,"[{""label"": ""Uzun bekleme"", ""percent"": 16.3, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 16.0, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 17.0, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 5.2, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 22.6, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 15.6, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 22.6, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 44.6, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 14.2, ""color"": ""#F99F1B""}]",74.6,3.57,4.67,2.97,83.89,212.49,1565181,24,"[[46, 15, 10, 17, 57, 26, 24, 90, 40, 82, 88, 92, 93, 80, 77, 75, 26, 62, 99, 78, 50, 8, 15, 42], [45, 51, 52, 12, 58, 74, 12, 41, 64, 21, 19, 92, 39, 46, 71, 56, 71, 30, 93, 30, 82, 11, 17, 77], [97, 84, 71, 15, 65, 96, 92, 81, 94, 40, 58, 81, 44, 37, 71, 77, 83, 49, 20, 82, 76, 67, 70, 97], [84, 67, 67, 27, 82, 33, 94, 41, 28, 4, 19, 7, 63, 84, 19, 98, 30, 82, 57, 56, 9, 46, 48, 75], [85, 31, 5, 85, 29, 92, 40, 36, 12, 43, 42, 68, 74, 45, 4, 18, 91, 46, 47, 54, 96, 76, 82, 7], [26, 28, 46, 47, 90, 65, 64, 8, 86, 21, 65, 23, 84, 62, 72, 46, 63, 56, 99, 11, 70, 42, 76, 96], [90, 44, 75, 72, 6, 30, 77, 91, 46, 49, 12, 23, 39, 7, 47, 52, 84, 72, 25, 77, 81, 53, 27, 80]]",978,32.29,3.13,"[{""platform_id"": 1, ""percent"": 26.0}, {""platform_id"": 2, ""percent"": 39.7}, {""platform_id"": 3, ""percent"": 34.3}]","[{""stars"": 5, ""percent"": 10.8, ""count"": 1347}, {""stars"": 4, ""percent"": 16.3, ""count"": 1286}, {""stars"": 3, ""percent"": 20.6, ""count"": 2198}, {""stars"": 2, ""percent"": 29.0, ""count"": 942}, {""stars"": 1, ""percent"": 15.5, ""count"": 658}]","[{""text"": ""Geç"", ""weight"": 4}, {""text"": ""Yağlı"", ""weight"": 5}, {""text"": ""Az porsiyon"", ""weight"": 1}, {""text"": ""Bayat"", ""weight"": 4}, {""text"": ""Lezzetsiz"", ""weight"": 5}, {""text"": ""Eksik"", ""weight"": 2}]","{""restaurant_courier"": {""fee"": 21, ""avg_cost"": 31.8, ""monthly_revenue"": 6960, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 38.11, ""monthly_revenue"": 1025434, ""churn_label"": ""ORTA""}}"
district,34-bağcılar,Çiğ Köfte,2026-05-01,Getir,1086,70428,46.8,41.4,43.8,41.9,5459.89,331142.66,5296842.05,,,,,,,,,,,,,,,,,,,,
district,34-bağcılar,Çiğ Köfte,2026-05-01,Yemeksepeti,2639,27591,25.1,43.6,38.7,39.9,4957.83,266718.98,3230698.85,,,,,,,,,,,,,,,,,,,,
district,34-bağcılar,Çorba,2026-05-01,Uber Eats Trendyol Go,2632,70212,41.5,31.2,36.6,32.8,13813.49,230220.09,3962728.2,10.53,6.83,"[{""label"": ""Uzun bekleme"", ""percent"": 16.0, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 7.9, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 8.0, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 11.8, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 5.3, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 22.5, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 20.3, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 26.2, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 17.0, ""color"": ""#F99F1B""}]",78.0,3.68,4.85,3.14,109.38,131.4,1586105,25,"[[73, 60, 10, 20, 7, 64, 90, 10, 17, 53, 10, 15, 58, 54, 26, 94, 80, 79, 84, 92, 93, 61, 82, 49], [43, 46, 29, 95, 89, 72, 14, 100, 63, 76, 20, 15, 93, 63, 16, 62, 43, 91, 86, 94, 63, 64, 33, 32], [22, 82, 37, 50, 54, 27, 93, 89, 46, 45, 62, 66, 7, 12, 64, 18, 48, 65, 63, 25, 40, 48, 81, 77], [20, 69, 17, 55, 95, 17, 45, 75, 87, 13, 42, 72, 63, 55, 79, 56, 34, 83, 35, 74, 24, 65, 53, 12], [47, 30, 92, 79, 59, 59, 76, 47, 73, 92, 34, 26, 88, 89, 13, 98, 95, 77, 66, 18, 79, 80, 63, 45], [75, 16, 60, 26, 43, 55, 12, 80, 17, 91, 80, 52, 45, 67, 86, 88, 11, 15, 31, 21, 78, 100, 85, 4], [100, 22, 88, 23, 61, 72, 41, 53, 82, 77, 61, 29, 30, 91, 44, 42, 76, 90, 42, 59, 95, 48, 15, 78]]",533,27.23,2.77,"[{""platform_id"": 1, ""percent"": 44.7}, {""platform_id"": 2, ""percent"": 44.8}, {""platform_id"": 3, ""percent"": 10.5}]","[{""stars"": 5, ""percent"": 11.6, ""count"": 2345}, {""stars"": 4, ""percent"": 23.2, ""count"": 908}, {""stars"": 3, ""percent"": 15.0, ""count"": 1646}, {""stars"": 2, ""percent"": 26.4, ""count"": 1235}, {""stars"": 1, ""percent"": 7.2, ""count"": 877}]","[{""text"": ""Bayat"", ""weight"": 3}, {""text"": ""Kötü"", ""weight"": 4}, {""text"": ""Eksik"", ""weight"": 4}, {""text"": ""Yağlı"", ""weight"": 4}, {""text"": ""Tatsız"", ""weight"": 4}, {""text"": ""Az porsiyon"", ""weight"": 5}]","{""restaurant_courier"": {""fee"": 21, ""avg_cost"": 38.25, ""monthly_revenue"": 6890, ""churn_label"": ""YÜKSEK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 27.82, ""monthly_revenue"": 1103277, ""churn_label"": ""ORTA""}}"
district,34-bağcılar,Çorba,2026-05-01,Getir,2208,30110,32.2,42.5,27.5,25.3,11132.28,185998.97,7424443.41,,,,,,,,,,,,,,,,,,,,
district,34-bağcılar,Çorba,2026-05-01,Yemeksepeti,2288,28898,27.1,37.8,33.3,36.4,12678.21,301107.38,5128520.85,,,,,,,,,,,,,,,,,,,,
district,34-bağcılar,Dondurma,2026-05-01,Uber Eats Trendyol Go,1236,49779,37.7,36.0,34.0,33.9,6043.7,301143.31,5889692.5,21.94,5.84,"[{""label"": ""Uzun bekleme"", ""percent"": 17.5, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 15.3, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 15.9, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 14.2, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 24.6, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 21.4, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 24.1, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 23.4, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 19.6, ""color"": ""#F99F1B""}]",87.3,3.68,4.87,3.98,198.04,244.62,1275042,17,"[[70, 82, 15, 35, 64, 84, 98, 88, 89, 13, 91, 85, 73, 78, 43, 82, 10, 47, 72, 5, 64, 62, 69, 64], [77, 97, 46, 57, 49, 41, 41, 25, 8, 92, 80, 99, 42, 97, 76, 37, 11, 84, 64, 78, 25, 77, 10, 88], [41, 98, 83, 7, 40, 66, 14, 20, 68, 13, 39, 36, 20, 82, 39, 39, 36, 5, 98, 18, 81, 26, 79, 98], [23, 88, 61, 51, 26, 37, 93, 34, 66, 27, 71, 8, 47, 14, 22, 80, 23, 67, 100, 56, 53, 34, 88, 60], [96, 85, 25, 30, 77, 97, 48, 10, 86, 37, 100, 18, 10, 25, 63, 55, 64, 42, 64, 99, 100, 72, 33, 52], [91, 94, 53, 64, 37, 22, 71, 59, 5, 40, 61, 52, 90, 44, 71, 91, 9, 16, 72, 85, 49, 59, 82, 87], [38, 46, 38, 38, 16, 36, 87, 78, 54, 63, 90, 99, 34, 97, 90, 79, 28, 70, 47, 90, 92, 27, 44, 74]]",543,28.46,3.25,"[{""platform_id"": 1, ""percent"": 15.4}, {""platform_id"": 2, ""percent"": 18.4}, {""platform_id"": 3, ""percent"": 66.2}]","[{""stars"": 5, ""percent"": 12.6, ""count"": 1413}, {""stars"": 4, ""percent"": 20.3, ""count"": 2285}, {""stars"": 3, ""percent"": 19.2, ""count"": 895}, {""stars"": 2, ""percent"": 10.7, ""count"": 1768}, {""stars"": 1, ""percent"": 6.8, ""count"": 744}]","[{""text"": ""Geç"", ""weight"": 5}, {""text"": ""Lezzetsiz"", ""weight"": 2}, {""text"": ""Bayat"", ""weight"": 1}, {""text"": ""Tatsız"", ""weight"": 2}, {""text"": ""Eksik"", ""weight"": 3}, {""text"": ""Kötü"", ""weight"": 3}]","{""restaurant_courier"": {""fee"": 29, ""avg_cost"": 38.21, ""monthly_revenue"": 3620, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 31.8, ""monthly_revenue"": 989809, ""churn_label"": ""ORTA""}}"
district,34-bağcılar,Dondurma,2026-05-01,Getir,1824,36864,29.0,26.5,40.5,34.6,7659.2,165014.66,7778028.5,,,,,,,,,,,,,,,,,,,,
