scope,district_id,neighborhood,category,period_date,platform,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast,cancel_rate,return_rate,cancel_reasons_json,return_reasons_json,area_performance_score,area_rating,highest_rating,lowest_rating,avg_basket,avg_menu_price,avg_monthly_revenue,courier_fee,hourly_heatmap_json,negative_comment_total,negative_comment_rate,negative_avg_rating,platform_negative_distribution_json,rating_distribution_json,negative_word_cloud_json,courier_comparison_json
neighborhood,34-beyoğlu,Arapcami,Börek,2026-05-01,Getir,1120,22838,41.5,43.9,33.5,35.1,7268.31,335769.37,5092920.55,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Arapcami,Börek,2026-05-01,Yemeksepeti,1990,65795,39.8,30.4,25.3,42.4,12751.93,182362.68,6022003.52,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Arapcami,Çiğ Köfte,2026-05-01,Uber Eats Trendyol Go,982,41259,31.1,31.5,41.3,28.0,9181.76,381582.84,6231315.35,17.95,12.03,"[{""label"": ""Uzun bekleme"", ""percent"": 20.5, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 25.5, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 23.1, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 6.6, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 13.1, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 12.8, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 17.5, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 38.6, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 14.4, ""color"": ""#F99F1B""}]",91.6,3.86,4.85,3.86,186.13,254.3,917991,15,"[[87, 67, 41, 77, 29, 71, 35, 37, 14, 56, 21, 35, 100, 22, 45, 86, 100, 21, 69, 67, 39, 43, 7, 21], [76, 18, 29, 30, 21, 23, 65, 58, 6, 30, 79, 27, 19, 76, 17, 56, 45, 68, 100, 8, 53, 37, 31, 84], [69, 51, 46, 98, 12, 21, 82, 78, 68, 58, 55, 93, 34, 18, 70, 91, 7, 45, 69, 35, 5, 82, 61, 54], [78, 7, 88, 41, 52, 29, 44, 6, 67, 64, 33, 99, 17, 74, 72, 47, 83, 34, 63, 62, 50, 34, 31, 48], [80, 89, 92, 36, 85, 9, 76, 44, 87, 87, 35, 28, 25, 86, 38, 90, 84, 98, 35, 29, 96, 45, 6, 54], [77, 100, 71, 41, 42, 35, 31, 97, 70, 83, 6, 24, 45, 38, 67, 99, 15, 88, 26, 64, 73, 4, 54, 52], [36, 100, 43, 74, 50, 86, 56, 65, 74, 92, 52, 69, 80, 25, 54, 99, 68, 49, 95, 44, 18, 22, 65, 10]]",890,17.06,3.07,"[{""platform_id"": 1, ""percent"": 28.8}, {""platform_id"": 2, ""percent"": 29.7}, {""platform_id"": 3, ""percent"": 41.4}]","[{""stars"": 5, ""percent"": 33.8, ""count"": 963}, {""stars"": 4, ""percent"": 27.0, ""count"": 2283}, {""stars"": 3, ""percent"": 22.5, ""count"": 2110}, {""stars"": 2, ""percent"": 24.0, ""count"": 2395}, {""stars"": 1, ""percent"": 19.5, ""count"": 989}]","[{""text"": ""Tatsız"", ""weight"": 3}, {""text"": ""Yağlı"", ""weight"": 3}, {""text"": ""Kötü"", ""weight"": 1}, {""text"": ""Eksik"", ""weight"": 3}, {""text"": ""Soğuk"", ""weight"": 2}, {""text"": ""Bayat"", ""weight"": 2}]","{""restaurant_courier"": {""fee"": 28, ""avg_cost"": 26.52, ""monthly_revenue"": 5506, ""churn_label"": ""ORTA""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 25.32, ""monthly_revenue"": 1019707, ""churn_label"": ""DÜŞÜK""}}"
neighborhood,34-beyoğlu,Arapcami,Çiğ Köfte,2026-05-01,Getir,1420,61809,41.3,28.4,41.0,44.3,4707.2,327771.26,3423754.92,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Arapcami,Çiğ Köfte,2026-05-01,Yemeksepeti,537,27148,41.8,36.5,31.9,41.6,11999.53,333304.3,6342303.91,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Asmalımescit,,2026-05-01,Uber Eats Trendyol Go,916,47502,32.6,31.3,38.8,49.4,11136.78,281946.26,3171615.77,19.68,11.4,"[{""label"": ""Uzun bekleme"", ""percent"": 27.7, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 13.9, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 16.6, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 24.6, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 13.0, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 15.8, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 15.5, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 29.6, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 17.4, ""color"": ""#F99F1B""}]",83.8,3.88,4.71,2.96,166.27,170.6,1420849,23,"[[49, 79, 67, 21, 23, 10, 51, 9, 19, 91, 14, 53, 6, 6, 21, 58, 70, 42, 90, 78, 59, 64, 62, 67], [59, 98, 19, 78, 26, 10, 20, 78, 63, 55, 35, 60, 61, 47, 48, 50, 88, 60, 83, 42, 96, 33, 17, 91], [91, 80, 28, 53, 52, 60, 15, 15, 55, 25, 49, 29, 46, 26, 21, 81, 33, 75, 54, 25, 77, 87, 14, 72], [64, 85, 78, 29, 88, 98, 86, 91, 63, 47, 81, 35, 84, 62, 85, 20, 65, 49, 16, 31, 13, 45, 70, 98], [52, 22, 6, 64, 13, 30, 71, 77, 36, 64, 89, 63, 89, 74, 47, 42, 85, 85, 10, 60, 78, 37, 48, 35], [82, 31, 39, 14, 17, 27, 31, 56, 42, 56, 92, 27, 86, 73, 45, 10, 52, 77, 55, 62, 92, 23, 96, 4], [54, 38, 62, 43, 4, 95, 47, 51, 94, 6, 32, 64, 44, 5, 19, 98, 56, 4, 45, 50, 66, 99, 9, 39]]",2467,25.17,2.67,"[{""platform_id"": 1, ""percent"": 17.2}, {""platform_id"": 2, ""percent"": 46.5}, {""platform_id"": 3, ""percent"": 36.2}]","[{""stars"": 5, ""percent"": 15.8, ""count"": 1994}, {""stars"": 4, ""percent"": 26.2, ""count"": 1938}, {""stars"": 3, ""percent"": 22.0, ""count"": 985}, {""stars"": 2, ""percent"": 17.2, ""count"": 1320}, {""stars"": 1, ""percent"": 21.7, ""count"": 1362}]","[{""text"": ""Yağlı"", ""weight"": 3}, {""text"": ""Az porsiyon"", ""weight"": 2}, {""text"": ""Soğuk"", ""weight"": 5}, {""text"": ""Geç"", ""weight"": 5}, {""text"": ""Tatsız"", ""weight"": 5}, {""text"": ""Kötü"", ""weight"": 1}]","{""restaurant_courier"": {""fee"": 25, ""avg_cost"": 30.68, ""monthly_revenue"": 3668, ""churn_label"": ""ORTA""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 35.34, ""monthly_revenue"": 966194, ""churn_label"": ""DÜŞÜK""}}"
neighborhood,34-beyoğlu,Asmalımescit,,2026-05-01,Getir,2231,54482,35.6,30.7,30.6,39.1,8339.09,322383.81,7662435.18,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Asmalımescit,,2026-05-01,Yemeksepeti,922,63074,41.3,25.3,36.1,31.4,14432.39,240930.3,5678431.54,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Asmalımescit,Balık & Deniz Ürünleri,2026-05-01,Uber Eats Trendyol Go,1906,67196,50.0,27.1,25.9,41.7,9182.87,347578.07,6610176.57,17.55,3.29,"[{""label"": ""Uzun bekleme"", ""percent"": 27.6, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 22.1, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 20.2, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 14.2, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 5.4, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 23.1, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 24.0, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 39.1, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 15.6, ""color"": ""#F99F1B""}]",79.0,4.12,4.88,2.98,90.2,142.63,554666,22,"[[29, 11, 81, 41, 34, 71, 11, 19, 100, 74, 11, 73, 66, 94, 49, 28, 62, 42, 17, 26, 96, 57, 6, 7], [24, 58, 84, 97, 60, 38, 47, 91, 100, 69, 53, 13, 70, 76, 85, 88, 36, 20, 100, 7, 53, 23, 41, 72], [72, 62, 68, 20, 89, 7, 24, 100, 75, 22, 48, 28, 100, 58, 48, 44, 23, 23, 6, 44, 28, 72, 40, 71], [11, 33, 5, 26, 49, 17, 48, 63, 18, 54, 12, 81, 47, 95, 42, 56, 62, 23, 28, 80, 5, 88, 40, 42], [17, 73, 50, 91, 8, 60, 12, 100, 13, 30, 68, 29, 87, 89, 48, 12, 37, 59, 35, 50, 41, 63, 55, 51], [72, 39, 72, 92, 96, 98, 74, 45, 42, 94, 97, 62, 56, 26, 4, 58, 76, 33, 94, 86, 40, 69, 53, 66], [31, 62, 6, 90, 27, 17, 94, 80, 65, 54, 19, 65, 37, 29, 21, 57, 42, 96, 14, 65, 24, 90, 27, 50]]",1984,17.4,2.52,"[{""platform_id"": 1, ""percent"": 32.8}, {""platform_id"": 2, ""percent"": 43.3}, {""platform_id"": 3, ""percent"": 23.9}]","[{""stars"": 5, ""percent"": 10.6, ""count"": 1611}, {""stars"": 4, ""percent"": 17.7, ""count"": 1998}, {""stars"": 3, ""percent"": 23.6, ""count"": 531}, {""stars"": 2, ""percent"": 22.2, ""count"": 520}, {""stars"": 1, ""percent"": 23.6, ""count"": 414}]","[{""text"": ""Soğuk"", ""weight"": 1}, {""text"": ""Az porsiyon"", ""weight"": 5}, {""text"": ""Geç"", ""weight"": 5}, {""text"": ""Tatsız"", ""weight"": 1}, {""text"": ""Bayat"", ""weight"": 4}, {""text"": ""Yağlı"", ""weight"": 2}]","{""restaurant_courier"": {""fee"": 23, ""avg_cost"": 36.22, ""monthly_revenue"": 7561, ""churn_label"": ""YÜKSEK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 29.58, ""monthly_revenue"": 922728, ""churn_label"": ""DÜŞÜK""}}"
neighborhood,34-beyoğlu,Asmalımescit,Balık & Deniz Ürünleri,2026-05-01,Getir,2234,64363,25.0,38.1,41.7,46.2,13950.18,384163.51,5308675.09,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Asmalımescit,Balık & Deniz Ürünleri,2026-05-01,Yemeksepeti,2936,51866,26.2,30.2,26.1,34.3,14405.25,341212.21,5519444.29,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Asmalımescit,Börek,2026-05-01,Uber Eats Trendyol Go,1193,63597,26.1,30.0,43.1,41.8,10484.37,306988.07,7111053.95,17.27,12.12,"[{""label"": ""Uzun bekleme"", ""percent"": 24.0, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 12.3, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 8.0, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 17.3, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 16.9, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 24.6, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 14.4, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 29.3, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 22.9, ""color"": ""#F99F1B""}]",72.6,3.92,4.75,3.91,103.63,146.97,753190,16,"[[12, 79, 31, 74, 53, 85, 69, 24, 21, 54, 63, 26, 35, 47, 57, 16, 12, 80, 40, 28, 56, 16, 40, 66], [45, 53, 21, 79, 61, 75, 73, 23, 35, 49, 47, 30, 13, 72, 86, 95, 85, 36, 41, 43, 94, 53, 80, 9], [42, 69, 71, 29, 46, 54, 29, 40, 66, 16, 59, 74, 86, 71, 11, 17, 64, 62, 15, 11, 73, 98, 59, 80], [54, 50, 37, 9, 54, 50, 7, 10, 22, 29, 51, 55, 96, 42, 14, 42, 8, 64, 62, 18, 36, 22, 14, 94], [6, 44, 43, 35, 46, 99, 14, 28, 60, 16, 68, 33, 94, 37, 79, 84, 66, 93, 78, 77, 23, 23, 82, 17], [11, 95, 73, 9, 60, 61, 73, 51, 89, 68, 45, 82, 84, 80, 14, 90, 82, 26, 69, 79, 90, 90, 23, 19], [63, 59, 79, 58, 11, 33, 72, 34, 37, 66, 71, 59, 23, 56, 39, 58, 14, 96, 54, 19, 46, 87, 86, 10]]",773,25.64,2.03,"[{""platform_id"": 1, ""percent"": 15.5}, {""platform_id"": 2, ""percent"": 26.4}, {""platform_id"": 3, ""percent"": 58.1}]","[{""stars"": 5, ""percent"": 10.9, ""count"": 2174}, {""stars"": 4, ""percent"": 28.1, ""count"": 2349}, {""stars"": 3, ""percent"": 24.4, ""count"": 2458}, {""stars"": 2, ""percent"": 23.1, ""count"": 1594}, {""stars"": 1, ""percent"": 20.5, ""count"": 440}]","[{""text"": ""Geç"", ""weight"": 4}, {""text"": ""Tatsız"", ""weight"": 1}, {""text"": ""Bayat"", ""weight"": 2}, {""text"": ""Yağlı"", ""weight"": 3}, {""text"": ""Kötü"", ""weight"": 4}, {""text"": ""Eksik"", ""weight"": 1}]","{""restaurant_courier"": {""fee"": 16, ""avg_cost"": 35.12, ""monthly_revenue"": 6239, ""churn_label"": ""YÜKSEK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 32.25, ""monthly_revenue"": 1014733, ""churn_label"": ""ORTA""}}"
neighborhood,34-beyoğlu,Asmalımescit,Börek,2026-05-01,Getir,1657,44585,28.8,38.3,31.9,41.0,6864.73,258848.49,3468213.84,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Asmalımescit,Börek,2026-05-01,Yemeksepeti,2743,74903,39.4,29.9,39.8,43.5,12181.49,229801.81,4147610.96,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Asmalımescit,Çiğ Köfte,2026-05-01,Uber Eats Trendyol Go,807,45742,37.7,30.1,33.9,36.0,10489.86,182089.4,5416858.54,7.39,8.49,"[{""label"": ""Uzun bekleme"", ""percent"": 11.3, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 26.4, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 5.5, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 9.8, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 8.6, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 26.3, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 16.4, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 39.0, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 18.8, ""color"": ""#F99F1B""}]",92.6,3.65,4.55,2.86,135.81,181.69,682285,29,"[[82, 15, 91, 20, 57, 13, 48, 39, 8, 83, 69, 88, 50, 55, 81, 14, 4, 33, 79, 29, 42, 75, 19, 11], [11, 35, 28, 43, 85, 47, 30, 77, 28, 18, 85, 64, 43, 96, 20, 22, 15, 59, 50, 78, 68, 16, 14, 50], [98, 98, 65, 100, 76, 100, 15, 29, 53, 90, 60, 89, 70, 87, 80, 47, 35, 60, 81, 22, 73, 11, 53, 34], [83, 52, 89, 73, 21, 37, 70, 13, 67, 100, 85, 27, 82, 67, 17, 31, 12, 15, 91, 45, 99, 69, 25, 45], [10, 72, 41, 31, 39, 89, 27, 15, 97, 19, 24, 16, 92, 73, 97, 27, 72, 71, 99, 25, 79, 16, 37, 48], [43, 63, 9, 86, 88, 44, 40, 35, 30, 26, 15, 23, 45, 79, 93, 49, 87, 41, 28, 22, 93, 39, 41, 94], [31, 98, 82, 27, 26, 11, 63, 69, 87, 86, 18, 7, 46, 96, 7, 74, 78, 75, 92, 88, 80, 94, 38, 97]]",715,29.88,3.03,"[{""platform_id"": 1, ""percent"": 17.9}, {""platform_id"": 2, ""percent"": 37.0}, {""platform_id"": 3, ""percent"": 45.1}]","[{""stars"": 5, ""percent"": 21.5, ""count"": 999}, {""stars"": 4, ""percent"": 29.0, ""count"": 1238}, {""stars"": 3, ""percent"": 21.0, ""count"": 1000}, {""stars"": 2, ""percent"": 17.4, ""count"": 2011}, {""stars"": 1, ""percent"": 23.8, ""count"": 1250}]","[{""text"": ""Kötü"", ""weight"": 2}, {""text"": ""Yağlı"", ""weight"": 3}, {""text"": ""Bayat"", ""weight"": 4}, {""text"": ""Soğuk"", ""weight"": 4}, {""text"": ""Geç"", ""weight"": 5}, {""text"": ""Eksik"", ""weight"": 3}]","{""restaurant_courier"": {""fee"": 17, ""avg_cost"": 31.9, ""monthly_revenue"": 3049, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 29.52, ""monthly_revenue"": 800165, ""churn_label"": ""ORTA""}}"
neighborhood,34-beyoğlu,Asmalımescit,Çiğ Köfte,2026-05-01,Getir,1634,44069,33.0,28.9,34.8,44.1,5324.75,271107.24,3486388.16,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Asmalımescit,Çiğ Köfte,2026-05-01,Yemeksepeti,1835,25872,30.7,42.4,25.1,29.7,4389.71,254545.49,7989945.89,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Bedrettin,,2026-05-01,Uber Eats Trendyol Go,1216,77592,41.1,36.7,36.5,34.4,5636.98,377392.76,4139466.6,23.81,4.32,"[{""label"": ""Uzun bekleme"", ""percent"": 24.2, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 14.1, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 16.9, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 16.1, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 23.8, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 28.5, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 14.0, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 35.9, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 20.0, ""color"": ""#F99F1B""}]",70.9,4.69,4.85,3.57,191.11,193.73,1030216,20,"[[29, 100, 5, 35, 30, 92, 92, 44, 84, 6, 17, 26, 33, 25, 76, 4, 10, 17, 100, 18, 94, 24, 38, 82], [34, 39, 17, 84, 49, 91, 68, 23, 21, 14, 25, 14, 100, 51, 13, 17, 9, 74, 73, 4, 93, 81, 73, 76], [47, 10, 53, 56, 51, 80, 94, 32, 47, 54, 16, 94, 38, 11, 7, 74, 96, 16, 42, 90, 48, 20, 86, 74], [54, 5, 55, 72, 79, 23, 15, 65, 98, 43, 37, 66, 96, 6, 65, 36, 80, 89, 97, 46, 26, 21, 41, 81], [83, 37, 88, 81, 86, 73, 78, 60, 55, 33, 76, 19, 52, 7, 10, 61, 54, 76, 40, 14, 92, 57, 45, 90], [75, 63, 7, 99, 13, 48, 20, 83, 48, 10, 100, 57, 35, 100, 47, 42, 18, 85, 94, 59, 60, 71, 84, 46], [32, 7, 39, 42, 44, 53, 63, 48, 86, 78, 69, 91, 12, 75, 84, 55, 35, 21, 85, 42, 100, 96, 30, 29]]",1805,15.17,2.8,"[{""platform_id"": 1, ""percent"": 27.3}, {""platform_id"": 2, ""percent"": 37.9}, {""platform_id"": 3, ""percent"": 34.7}]","[{""stars"": 5, ""percent"": 31.7, ""count"": 760}, {""stars"": 4, ""percent"": 28.5, ""count"": 1332}, {""stars"": 3, ""percent"": 28.6, ""count"": 2391}, {""stars"": 2, ""percent"": 23.0, ""count"": 704}, {""stars"": 1, ""percent"": 12.7, ""count"": 1161}]","[{""text"": ""Lezzetsiz"", ""weight"": 4}, {""text"": ""Yağlı"", ""weight"": 1}, {""text"": ""Geç"", ""weight"": 3}, {""text"": ""Bayat"", ""weight"": 5}, {""text"": ""Soğuk"", ""weight"": 5}, {""text"": ""Kötü"", ""weight"": 5}]","{""restaurant_courier"": {""fee"": 21, ""avg_cost"": 27.93, ""monthly_revenue"": 3527, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 31.93, ""monthly_revenue"": 985558, ""churn_label"": ""ORTA""}}"
neighborhood,34-beyoğlu,Bedrettin,,2026-05-01,Getir,2034,45834,30.2,37.6,28.0,35.2,4506.46,343341.02,5219200.53,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Bedrettin,,2026-05-01,Yemeksepeti,2111,26015,45.2,37.4,44.6,35.3,9908.77,205309.96,5818259.89,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Bedrettin,Balık & Deniz Ürünleri,2026-05-01,Uber Eats Trendyol Go,977,21409,28.3,25.8,35.0,32.8,5927.27,283158.16,5910334.74,21.75,6.99,"[{""label"": ""Uzun bekleme"", ""percent"": 23.1, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 6.1, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 18.4, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 30.0, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 10.0, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 22.2, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 20.6, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 33.7, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 28.1, ""color"": ""#F99F1B""}]",83.9,3.91,4.64,2.97,82.26,267.66,1090840,26,"[[20, 10, 62, 67, 41, 70, 53, 10, 27, 49, 100, 56, 33, 64, 69, 15, 15, 92, 88, 84, 53, 79, 10, 91], [81, 60, 23, 60, 35, 26, 87, 68, 51, 51, 67, 100, 63, 79, 64, 38, 75, 36, 99, 4, 70, 50, 25, 100], [27, 71, 57, 15, 80, 71, 20, 60, 22, 56, 4, 52, 47, 65, 59, 69, 24, 94, 83, 80, 59, 64, 22, 70], [26, 43, 17, 97, 93, 83, 63, 68, 97, 55, 68, 9, 37, 25, 71, 72, 66, 69, 91, 80, 24, 45, 76, 71], [54, 60, 92, 23, 92, 41, 19, 81, 49, 40, 19, 84, 50, 64, 12, 64, 59, 25, 55, 76, 52, 63, 26, 72], [76, 21, 50, 66, 58, 48, 46, 47, 12, 37, 59, 50, 81, 79, 68, 33, 12, 38, 29, 11, 80, 80, 48, 33], [24, 17, 73, 77, 34, 17, 86, 50, 91, 35, 9, 45, 89, 69, 96, 52, 51, 37, 73, 30, 33, 89, 68, 75]]",682,23.5,2.16,"[{""platform_id"": 1, ""percent"": 18.6}, {""platform_id"": 2, ""percent"": 25.0}, {""platform_id"": 3, ""percent"": 56.4}]","[{""stars"": 5, ""percent"": 19.1, ""count"": 668}, {""stars"": 4, ""percent"": 22.7, ""count"": 2149}, {""stars"": 3, ""percent"": 21.4, ""count"": 1454}, {""stars"": 2, ""percent"": 24.9, ""count"": 1865}, {""stars"": 1, ""percent"": 13.2, ""count"": 1271}]","[{""text"": ""Geç"", ""weight"": 1}, {""text"": ""Eksik"", ""weight"": 5}, {""text"": ""Yağlı"", ""weight"": 4}, {""text"": ""Soğuk"", ""weight"": 3}, {""text"": ""Lezzetsiz"", ""weight"": 5}, {""text"": ""Az porsiyon"", ""weight"": 4}]","{""restaurant_courier"": {""fee"": 18, ""avg_cost"": 44.14, ""monthly_revenue"": 5019, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 39.96, ""monthly_revenue"": 1291026, ""churn_label"": ""DÜŞÜK""}}"
neighborhood,34-beyoğlu,Bedrettin,Balık & Deniz Ürünleri,2026-05-01,Getir,1620,50834,31.5,38.3,32.3,47.3,14869.69,224271.58,7315857.85,,,,,,,,,,,,,,,,,,,,
neighborhood,34-beyoğlu,Bedrettin,Balık & Deniz Ürünleri,2026-05-01,Yemeksepeti,2709,75393,33.9,26.1,39.8,35.7,6130.13,391254.91,7717245.13,,,,,,,,,,,,,,,,,,,,
